Description:,"Fahrenheit-based heating degree days with a base temperature of 65 F"
Source:,"www.degreedays.net"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Bar Harbor, Hancock County-Bar Harbor Airport, ME, US (68.36W,44.45N)"
Station ID:,KBHB

Date,HDD 65,% Estimated
2021-04-01,21.2,0
2021-04-02,32.4,1
2021-04-03,31.7,0
2021-04-04,29.1,0
2021-04-05,25.3,0
2021-04-06,19,0
2021-04-07,14.4,0
2021-04-08,13.7,0
2021-04-09,17.2,0
2021-04-10,17.7,1
2021-04-11,21.5,0
2021-04-12,14.8,0
2021-04-13,15.3,0
2021-04-14,20.9,0
2021-04-15,25.1,0
2021-04-16,28.3,0
2021-04-17,27.1,0
2021-04-18,22.8,0
2021-04-19,18,0
2021-04-20,16.8,0
2021-04-21,15.5,0
2021-04-22,29.6,0
2021-04-23,20,0
2021-04-24,9.9,1
2021-04-25,18.2,0
2021-04-26,21.4,0
2021-04-27,13.5,0
2021-04-28,13,1
2021-04-29,14.9,1
2021-04-30,19.5,0
2021-05-01,16.3,0
2021-05-02,12.4,1
2021-05-03,14.4,0
2021-05-04,14.8,1
2021-05-05,19.9,0
2021-05-06,17.6,0
2021-05-07,18.7,0
2021-05-08,20.7,0
2021-05-09,13.4,0
2021-05-10,14.7,0
2021-05-11,15.6,0
2021-05-12,15,0
2021-05-13,11.6,0
2021-05-14,6.7,0
2021-05-15,8.9,6
2021-05-16,10,0
2021-05-17,9.3,0
2021-05-18,7.8,0
2021-05-19,7.3,0
2021-05-20,13,0
2021-05-21,9.8,0
2021-05-22,9.5,0
2021-05-23,6.1,0
2021-05-24,13.8,0
2021-05-25,9.7,0
2021-05-26,3.9,0
2021-05-27,2.2,0
2021-05-28,14.8,0
2021-05-29,18.5,0
2021-05-30,17.6,0
2021-05-31,12.3,0
2021-06-01,6.2,0
2021-06-02,5.4,0
2021-06-03,6.9,0
2021-06-04,3.5,0
2021-06-05,2.9,0
2021-06-06,0.1,0
2021-06-07,1.1,0
2021-06-08,0.6,0
2021-06-09,0,0
2021-06-10,4.1,0
2021-06-11,11.9,0
2021-06-12,7.6,0
2021-06-13,4.7,0
2021-06-14,3.3,0
2021-06-15,5,0
2021-06-16,2.9,0
2021-06-17,5.2,0
2021-06-18,4.5,0
2021-06-19,2.1,0
2021-06-20,1.7,0
2021-06-21,1.9,0
2021-06-22,1.5,0
2021-06-23,5.5,0
2021-06-24,6.9,0
2021-06-25,7,46
2021-06-26,2.7,100
2021-06-27,1.4,100
2021-06-28,0.6,100
2021-06-29,0.1,100
2021-06-30,0,100
2021-07-01,0.1,27
2021-07-02,7.3,0
2021-07-03,7.9,0
2021-07-04,10.6,0
2021-07-05,7.3,0
2021-07-06,1.8,0
2021-07-07,0.2,0
2021-07-08,3.2,0
2021-07-09,2.4,0
2021-07-10,1.2,0
2021-07-11,3.1,0
2021-07-12,1.4,0
2021-07-13,3.2,0
2021-07-14,2.4,0
2021-07-15,0.8,0
2021-07-16,0.2,0
2021-07-17,0.4,0
2021-07-18,1.9,0
2021-07-19,0.7,0
2021-07-20,0.6,0
2021-07-21,0.9,0
2021-07-22,2.9,0
2021-07-23,4.2,0
2021-07-24,4,0
2021-07-25,3.5,0
2021-07-26,1.6,0
2021-07-27,1.1,0
2021-07-28,2.4,0
2021-07-29,5.7,0
2021-07-30,3.2,0
2021-07-31,4.5,0
2021-08-01,4.1,0
2021-08-02,4.4,0
2021-08-03,2.7,0
2021-08-04,1.9,0
2021-08-05,1.6,0
2021-08-06,0.3,0
2021-08-07,0.6,0
2021-08-08,0.3,0
2021-08-09,1.2,0
2021-08-10,1.5,0
2021-08-11,0.7,0
2021-08-12,0.5,0
2021-08-13,0.2,0
2021-08-14,0.1,0
2021-08-15,1.8,0
2021-08-16,4.5,0
2021-08-17,2.5,0
2021-08-18,0.1,0
2021-08-19,0.1,0
2021-08-20,0,0
2021-08-21,0.2,0
2021-08-22,0.6,0
2021-08-23,0.6,0
2021-08-24,0,0
2021-08-25,0.1,0
2021-08-26,0.2,0
2021-08-27,0.4,0
2021-08-28,5,0
2021-08-29,4.1,1
2021-08-30,1,5
2021-08-31,0.9,0
2021-09-01,1.7,0
2021-09-02,6.1,0
2021-09-03,5.6,0
2021-09-04,5.3,0
2021-09-05,7.8,0
2021-09-06,2.4,0
2021-09-07,3.7,0
2021-09-08,3.6,0
2021-09-09,0.3,0
2021-09-10,2.7,0
2021-09-11,5.6,0
2021-09-12,1.8,0
2021-09-13,3.7,0
2021-09-14,8,0
2021-09-15,2.4,0
2021-09-16,3.3,0
2021-09-17,6,2
2021-09-18,1.8,0
2021-09-19,5.6,0
2021-09-20,9.6,0
2021-09-21,7.2,0
2021-09-22,1.6,0
2021-09-23,1.9,0
2021-09-24,0.2,0
2021-09-25,0.1,0
2021-09-26,2.8,0
2021-09-27,5.5,0
2021-09-28,5.4,0
2021-09-29,10.1,0
2021-09-30,13.2,0
2021-10-01,13.4,0
2021-10-02,10.6,0
2021-10-03,12.3,0
2021-10-04,14.1,0
2021-10-05,12.5,0
2021-10-06,11.4,0
2021-10-07,10.1,0
2021-10-08,11.5,0
2021-10-09,18.2,0
2021-10-10,15.5,0
2021-10-11,9.6,0
2021-10-12,7.5,0
2021-10-13,5.6,0
2021-10-14,5.7,0
2021-10-15,8.5,0
2021-10-16,4,0
2021-10-17,7.3,0
2021-10-18,14.3,0
2021-10-19,18.2,0
2021-10-20,17.7,0
2021-10-21,13.2,0
2021-10-22,6.4,0
2021-10-23,16.5,0
2021-10-24,20.7,0
2021-10-25,20.3,0
2021-10-26,15.4,0
2021-10-27,17.7,0
2021-10-28,17.6,0
2021-10-29,20,0
2021-10-30,15.6,0
2021-10-31,9.1,0
2021-11-01,12.9,0
2021-11-02,18.2,1
2021-11-03,22.2,0
2021-11-04,29.6,0
2021-11-05,31.1,0
2021-11-06,25.6,0
2021-11-07,27.5,0
2021-11-08,23.6,0
2021-11-09,19.3,0
2021-11-10,21.2,0
2021-11-11,25.2,0
2021-11-12,18.2,0
2021-11-13,16.4,0
2021-11-14,23.2,0
2021-11-15,23.6,0
2021-11-16,27.6,0
2021-11-17,29.9,0
2021-11-18,13.3,1
2021-11-19,24.8,0
2021-11-20,30.9,0
2021-11-21,20.1,0
2021-11-22,16.6,0
2021-11-23,33,0
2021-11-24,33.5,0
2021-11-25,27.5,0
2021-11-26,29.6,0
2021-11-27,35.6,0
2021-11-28,37.6,0
2021-11-29,38.4,0
2021-11-30,39.5,0
2021-12-01,33.4,0
2021-12-02,24.5,0
2021-12-03,31.7,0
2021-12-04,42.8,0
2021-12-05,37.2,0
2021-12-06,18,0
2021-12-07,30,0
2021-12-08,42.2,0
2021-12-09,45.2,0
2021-12-10,44.6,0
2021-12-11,22.3,0
2021-12-12,21.9,0
2021-12-13,25.7,0
2021-12-14,29.8,0
2021-12-15,36.4,0
2021-12-16,21.5,0
2021-12-17,19.9,0
2021-12-18,35.1,0
2021-12-19,39.4,0
2021-12-20,44.5,0
2021-12-21,32.3,0
2021-12-22,29.3,0
2021-12-23,45.3,0
2021-12-24,45.4,0
2021-12-25,39.6,0
2021-12-26,36.5,0
2021-12-27,37.8,0
2021-12-28,37.4,0
2021-12-29,39,0
2021-12-30,34.6,0
2021-12-31,31.9,0
2022-01-01,24.7,0
2022-01-02,31.1,0
2022-01-03,49.3,0
2022-01-04,51.6,0
2022-01-05,26,0
2022-01-06,29.1,0
2022-01-07,37.6,0
2022-01-08,48.4,0
2022-01-09,33.2,0
2022-01-10,42.6,0
2022-01-11,63.6,0
2022-01-12,49.4,0
2022-01-13,38.9,0
2022-01-14,38,0
2022-01-15,62.4,0
2022-01-16,55.5,0
2022-01-17,30.9,0
