time,value
2024-02-22T18:33:42.869803709Z,61
2024-02-22T18:33:53.705787701Z,61
2024-02-22T18:34:04.544958221Z,61
2024-02-22T18:34:15.374511903Z,61
2024-02-22T18:34:26.200911995Z,62
2024-02-22T18:34:37.043597092Z,62
2024-02-22T18:34:47.874105723Z,62
2024-02-22T18:34:58.714229424Z,62
2024-02-22T18:35:09.551112798Z,62
2024-02-22T18:35:20.384372971Z,62
2024-02-22T18:35:31.226723906Z,63
2024-02-22T18:35:42.062591443Z,63
2024-02-22T18:35:52.895582509Z,63
2024-02-22T18:36:03.739214279Z,63
2024-02-22T18:36:14.571720011Z,63
2024-02-22T18:36:25.406668145Z,64
2024-02-22T18:36:36.248524629Z,64
2024-02-22T18:36:47.086833824Z,64
2024-02-22T18:36:57.919772546Z,64
2024-02-22T18:37:08.763454463Z,64
2024-02-22T18:37:19.604237258Z,65
2024-02-22T18:37:30.441336429Z,65
2024-02-22T18:37:41.270220459Z,65
2024-02-22T18:37:52.09870552Z,66
2024-02-22T18:38:02.944795913Z,66
2024-02-22T18:38:13.775124597Z,66
2024-02-22T18:38:24.607615834Z,66
2024-02-22T18:38:35.445311483Z,67
2024-02-22T18:38:46.279236915Z,67
2024-02-22T18:38:57.104812354Z,67
2024-02-22T18:39:07.955694236Z,68
2024-02-22T18:39:18.787385771Z,68
2024-02-22T18:39:29.623493281Z,68
2024-02-22T18:39:40.460627814Z,68
2024-02-22T18:39:51.290749461Z,69
2024-02-22T18:40:02.130834191Z,69
2024-02-22T18:40:12.974285457Z,69
2024-02-22T18:40:23.797436044Z,69
2024-02-22T18:40:34.651638354Z,69
2024-02-22T18:40:45.469888216Z,70
2024-02-22T18:40:56.297406638Z,70
2024-02-22T18:41:07.149216047Z,70
2024-02-22T18:41:17.978015598Z,70
2024-02-22T18:41:28.816084568Z,71
2024-02-22T18:41:39.665936581Z,71
2024-02-22T18:41:50.498324571Z,71
2024-02-22T18:42:01.337208532Z,71
2024-02-22T18:42:12.186802876Z,72
2024-02-22T18:42:23.018463583Z,72
2024-02-22T18:42:33.853867982Z,72
2024-02-22T18:42:44.692031942Z,73
2024-02-22T18:42:55.529957091Z,73
2024-02-22T18:43:06.375825577Z,73
2024-02-22T18:43:17.205173093Z,73
2024-02-22T18:43:28.033250901Z,74
2024-02-22T18:43:38.878210022Z,74
2024-02-22T18:43:49.705770766Z,74
2024-02-22T18:44:00.5387181Z,74
2024-02-22T18:44:11.374434092Z,75
2024-02-22T18:44:22.207834213Z,75
2024-02-22T18:44:33.04211754Z,75
2024-02-22T18:44:43.884816227Z,75
2024-02-22T18:44:54.726850994Z,75
2024-02-22T18:45:05.565718852Z,75
2024-02-22T18:45:16.395915843Z,75
2024-02-22T18:45:27.227789887Z,75
2024-02-22T18:45:38.072847521Z,75
2024-02-22T18:45:48.901227556Z,75
2024-02-22T18:45:59.73610742Z,75
2024-02-22T18:46:10.577695715Z,75
2024-02-22T18:46:21.405582423Z,75
2024-02-22T18:46:32.23954603Z,75
2024-02-22T18:46:43.085024241Z,75
2024-02-22T18:46:53.916360479Z,75
2024-02-22T18:47:04.751059914Z,75
2024-02-22T18:47:15.5927482Z,75
2024-02-22T18:47:26.431525336Z,75
2024-02-22T18:47:37.269200722Z,75
2024-02-22T18:47:48.11050794Z,75
2024-02-22T18:47:58.947108371Z,75
2024-02-22T18:48:09.798030836Z,75
2024-02-22T18:48:20.626625331Z,75
2024-02-22T18:48:31.454219795Z,75
2024-02-22T18:48:42.30253604Z,75
2024-02-22T18:48:53.135454533Z,75
2024-02-22T18:49:03.964716678Z,75
2024-02-22T18:49:14.809818012Z,75
2024-02-22T18:49:25.639609325Z,75
2024-02-22T18:49:36.470176443Z,75
2024-02-22T18:49:47.315239808Z,75
2024-02-22T18:49:58.150138475Z,75
2024-02-22T18:50:08.983281053Z,74
2024-02-22T18:50:19.823977569Z,74
2024-02-22T18:50:30.654723879Z,74
2024-02-22T18:50:41.499012411Z,74
2024-02-22T18:50:52.319167217Z,74
2024-02-22T18:51:03.156777344Z,74
2024-02-22T18:51:14.003906542Z,74
2024-02-22T18:51:24.831926477Z,74
2024-02-22T18:51:35.663951298Z,74
2024-02-22T18:51:46.513694896Z,74
2024-02-22T18:51:57.336105979Z,74
2024-02-22T18:52:08.162302099Z,74
2024-02-22T18:52:19.003346804Z,73
2024-02-22T18:52:29.83182325Z,73
2024-02-22T18:52:40.682784573Z,73
2024-02-22T18:52:51.510376581Z,73
2024-02-22T18:53:02.346694238Z,73
2024-02-22T18:53:13.193426868Z,73
2024-02-22T18:53:24.025230872Z,73
2024-02-22T18:53:34.855864227Z,73
2024-02-22T18:53:45.700912661Z,72
2024-02-22T18:53:56.524289972Z,72
2024-02-22T18:54:07.361143546Z,72
2024-02-22T18:54:18.201921961Z,72
2024-02-22T18:54:29.032100533Z,72
2024-02-22T18:54:39.861551688Z,72
2024-02-22T18:54:50.718192621Z,72
2024-02-22T18:55:01.541333443Z,71
2024-02-22T18:55:12.38681183Z,71
2024-02-22T18:55:23.219998397Z,71
2024-02-22T18:55:34.050861999Z,71
2024-02-22T18:55:44.901514979Z,71
2024-02-22T18:55:55.739011755Z,71
2024-02-22T18:56:06.569657033Z,71
2024-02-22T18:56:17.414316301Z,71
2024-02-22T18:56:28.254127709Z,70
2024-02-22T18:56:39.091805265Z,70
2024-02-22T18:56:49.936832957Z,70
2024-02-22T18:57:00.770688972Z,70
2024-02-22T18:57:11.604984389Z,70
2024-02-22T18:57:22.456473115Z,70
2024-02-22T18:57:33.283992339Z,69
2024-02-22T18:57:44.122815679Z,69
2024-02-22T18:57:54.955109544Z,69
2024-02-22T18:58:05.780143482Z,69
2024-02-22T18:58:16.634792348Z,69
2024-02-22T18:58:27.456433227Z,68
2024-02-22T18:58:38.284731051Z,68
2024-02-22T18:58:49.132461727Z,68
2024-02-22T18:58:59.965463184Z,68
2024-02-22T18:59:10.786975981Z,68
2024-02-22T18:59:21.634792465Z,68
2024-02-22T18:59:32.469611371Z,68
2024-02-22T18:59:43.30481603Z,68
2024-02-22T18:59:54.147396025Z,67
2024-02-22T19:00:04.972206184Z,67
2024-02-22T19:00:15.813562999Z,67
2024-02-22T19:00:26.653400865Z,67
2024-02-22T19:00:37.492389312Z,67
2024-02-22T19:00:48.334790644Z,67
2024-02-22T19:00:59.167328957Z,67
2024-02-22T19:01:09.991240887Z,67
2024-02-22T19:01:20.838771131Z,67
2024-02-22T19:01:31.669681379Z,66
2024-02-22T19:01:42.497795652Z,66
2024-02-22T19:01:53.337786007Z,66
2024-02-22T19:02:04.165565434Z,66
2024-02-22T19:02:14.98918127Z,66
2024-02-22T19:02:25.834797976Z,66
2024-02-22T19:02:36.668082145Z,66
2024-02-22T19:02:47.503868484Z,66
2024-02-22T19:02:58.341060102Z,66
2024-02-22T19:03:09.169555006Z,66
2024-02-22T19:03:20.014692812Z,65
2024-02-22T19:03:30.845204134Z,65
2024-02-22T19:03:41.674500707Z,65
2024-02-22T19:03:52.525282962Z,65
2024-02-22T19:04:03.348849801Z,65
2024-02-22T19:04:14.181247747Z,65
2024-02-22T19:04:25.029301121Z,65
2024-02-22T19:04:35.856299153Z,65
2024-02-22T19:04:46.681827381Z,65
2024-02-22T19:04:57.525033288Z,65
2024-02-22T19:05:08.348704974Z,65
2024-02-22T19:05:19.193882722Z,65
2024-02-22T19:05:30.026284304Z,65
2024-02-22T19:05:40.852307369Z,65
2024-02-22T19:05:51.698535436Z,64
2024-02-22T19:06:02.524462739Z,64
2024-02-22T19:06:13.351577641Z,64
2024-02-22T19:06:24.202363713Z,64
2024-02-22T19:06:35.02707558Z,64
2024-02-22T19:06:45.862128629Z,64
2024-02-22T19:06:56.696137558Z,64
2024-02-22T19:07:07.528661155Z,64
2024-02-22T19:07:18.349496289Z,64
2024-02-22T19:07:29.192325309Z,64
2024-02-22T19:07:40.02664208Z,64
2024-02-22T19:07:50.868618544Z,64
2024-02-22T19:08:01.702789354Z,64
2024-02-22T19:08:12.523716395Z,64
2024-02-22T19:08:23.366406711Z,64
2024-02-22T19:08:34.189845744Z,64
2024-02-22T19:08:45.021969254Z,64
2024-02-22T19:08:55.865906136Z,64
2024-02-22T19:09:06.691746709Z,63
2024-02-22T19:09:17.515878989Z,63
2024-02-22T19:09:28.363110909Z,63
2024-02-22T19:09:39.190938128Z,63
2024-02-22T19:09:50.018969842Z,63
2024-02-22T19:10:00.860546878Z,63
2024-02-22T19:10:11.690088645Z,63
2024-02-22T19:10:22.524877856Z,63
2024-02-22T19:10:33.358296704Z,63
2024-02-22T19:10:44.187330988Z,63
2024-02-22T19:10:55.03122087Z,63
2024-02-22T19:11:05.866242599Z,63
2024-02-22T19:11:16.690015987Z,63
2024-02-22T19:11:27.54783043Z,63
2024-02-22T19:11:38.375329454Z,63
2024-02-22T19:11:49.200518364Z,63
2024-02-22T19:12:00.046853099Z,63
2024-02-22T19:12:10.878399855Z,63
2024-02-22T19:12:21.701536477Z,62
2024-02-22T19:12:32.546997685Z,62
2024-02-22T19:12:43.381423825Z,62
2024-02-22T19:12:54.229266414Z,62
2024-02-22T19:13:05.064618591Z,62
2024-02-22T19:13:15.895028445Z,62
2024-02-22T19:13:26.74504908Z,62
2024-02-22T19:13:37.578085437Z,62
2024-02-22T19:13:48.410145052Z,62
2024-02-22T19:13:59.252570691Z,62
2024-02-22T19:14:10.084618692Z,62
2024-02-22T19:14:20.913056299Z,62
2024-02-22T19:14:31.758092078Z,62
2024-02-22T19:14:42.586977508Z,62
2024-02-22T19:14:53.419666266Z,62
2024-02-22T19:15:04.258033904Z,61
2024-02-22T19:15:15.092871773Z,61
2024-02-22T19:15:25.934400905Z,61
2024-02-22T19:15:36.771476309Z,61
2024-02-22T19:15:47.594946891Z,61
2024-02-22T19:15:58.443227113Z,61
2024-02-22T19:16:09.270540134Z,61
2024-02-22T19:16:20.103794116Z,61
2024-02-22T19:16:30.943557932Z,61
2024-02-22T19:16:41.772228854Z,61
2024-02-22T19:16:52.600707909Z,61
2024-02-22T19:17:03.44757836Z,61
2024-02-22T19:17:14.278018783Z,61
2024-02-22T19:17:25.107159964Z,61
2024-02-22T19:17:35.950451318Z,61
2024-02-22T19:17:46.773442929Z,61
2024-02-22T19:17:57.611613128Z,61
2024-02-22T19:18:08.449793635Z,61
2024-02-22T19:18:19.282379999Z,60
2024-02-22T19:18:30.128002656Z,60
2024-02-22T19:18:40.953138179Z,60
2024-02-22T19:18:51.782876439Z,60
2024-02-22T19:19:02.62947343Z,60
2024-02-22T19:19:13.458630035Z,60
2024-02-22T19:19:24.296113483Z,60
2024-02-22T19:19:35.141047973Z,60
2024-02-22T19:19:45.957428654Z,60
2024-02-22T19:19:56.79156414Z,60
2024-02-22T19:20:07.631158544Z,60
2024-02-22T19:20:18.466610099Z,60
2024-02-22T19:20:29.306487183Z,60
2024-02-22T19:20:40.146142241Z,60
2024-02-22T19:20:51.091409053Z,60
2024-02-22T19:21:01.940867816Z,60
2024-02-22T19:21:12.775927456Z,60
2024-02-22T19:21:23.62143264Z,60
2024-02-22T19:21:34.447496875Z,59
2024-02-22T19:21:45.273955107Z,59
2024-02-22T19:21:56.101242037Z,59
2024-02-22T19:22:06.942648419Z,59
2024-02-22T19:22:17.77806425Z,59
2024-02-22T19:22:28.609315226Z,59
2024-02-22T19:22:39.449531893Z,59
2024-02-22T19:22:50.283319103Z,59
2024-02-22T19:23:01.125701059Z,59
2024-02-22T19:23:11.956135341Z,59
2024-02-22T19:23:22.786456393Z,59
2024-02-22T19:23:33.625747741Z,59
2024-02-22T19:23:44.455668408Z,59
2024-02-22T19:23:55.280139692Z,59
2024-02-22T19:24:06.12640231Z,59
2024-02-22T19:24:16.952535712Z,59
2024-02-22T19:24:27.785296298Z,59
2024-02-22T19:24:38.643334301Z,58
2024-02-22T19:24:49.46803323Z,58
2024-02-22T19:25:00.300788082Z,58
2024-02-22T19:25:11.147824386Z,58
2024-02-22T19:25:21.97741687Z,58
2024-02-22T19:25:32.838947669Z,58
2024-02-22T19:25:43.654733446Z,58
2024-02-22T19:25:54.496980057Z,58
2024-02-22T19:26:05.341152614Z,58
2024-02-22T19:26:16.171648131Z,58
2024-02-22T19:26:27.00551611Z,58
2024-02-22T19:26:37.864405489Z,58
2024-02-22T19:26:48.689652431Z,58
2024-02-22T19:26:59.517358969Z,58
2024-02-22T19:27:10.372972111Z,58
2024-02-22T19:27:21.202159269Z,58
2024-02-22T19:27:32.108578924Z,57
2024-02-22T19:27:42.861804737Z,57
2024-02-22T19:27:53.6975028Z,57
2024-02-22T19:28:04.542689607Z,57
2024-02-22T19:28:15.378345716Z,57
2024-02-22T19:28:26.208056932Z,57
2024-02-22T19:28:37.057317746Z,57
2024-02-22T19:28:47.880820659Z,57
2024-02-22T19:28:58.71467663Z,57
2024-02-22T19:29:09.547659936Z,57
2024-02-22T19:29:20.377592768Z,57
2024-02-22T19:29:31.209756535Z,57
2024-02-22T19:29:42.058312936Z,57
2024-02-22T19:29:52.895409649Z,57
2024-02-22T19:30:03.727491742Z,57
2024-02-22T19:30:14.572831542Z,57
2024-02-22T19:30:25.401378582Z,57
2024-02-22T19:30:36.249700242Z,57
2024-02-22T19:30:47.080575451Z,57
2024-02-22T19:30:57.912668729Z,57
2024-02-22T19:31:08.75490008Z,57
2024-02-22T19:31:19.581800595Z,57
2024-02-22T19:31:30.419501308Z,57
2024-02-22T19:31:41.272130898Z,56
2024-02-22T19:31:52.096107406Z,56
2024-02-22T19:32:02.928760232Z,56
2024-02-22T19:32:13.765952876Z,56
2024-02-22T19:32:24.5964623Z,56
